scrape_ts,city,probe_locality,probe_lat,probe_lng,restaurant_id,name,locality,area_name,cost_for_two_raw,cuisines,avg_rating,total_ratings_raw,delivery_time_min,last_mile_km,is_open,veg_only,offer_header,offer_subheader,offer_tag,chain_parent_id,cost_for_two,n_ratings,offer_type,offer_pct,offer_flat,offer_cap,offer_min_order,item_price,locality_reach,chain_outlets,is_chain,n_cuisines,primary_cuisine,has_offer,log_cost,log_votes,cost_w,cost_pct_in_city
2026-09-19 21:12:19,Chennai,Velachery,12.9756,80.2207,110529,The Belgian Waffle Co.,Seetaram Nagar,Velachery,₹200 for two,Waffle|Desserts|Ice Cream,4.6,8.6K+,24,1.6,True,True,30% OFF,UPTO ₹60,,2233,200.0,8600.0,percent,30.0,0.0,60.0,,,1,47,1,3,Waffle,1,5.298317366548036,9.059633754551479,200.0,0.10950413223140495
2026-09-19 21:12:19,Mumbai,Andheri West,19.1364,72.8296,110824,Baskin Robbins - Ice Cream Desserts,INFINITI - ANDHERI Infiniti Mall,Andheri West,₹350 for two,Desserts,4.3,692,43,1.4,True,True,ITEMS,AT ₹15,,5588,350.0,692.0,item_price_point,0.0,0.0,,,15.0,1,59,1,1,Desserts,1,5.857933154483459,6.541029999189903,350.0,0.5353159851301115
2026-09-19 21:12:19,Mumbai,Borivali,19.2307,72.8567,111604,Bhagwati Veg Restaurant,Borivali West,Borivali West,₹550 for two,Chinese|Biryani|South Indian,4.3,27K+,36,2.8,True,False,50% OFF,UPTO ₹100,,1840,550.0,27000.0,percent,50.0,0.0,100.0,,,1,1,0,3,Chinese,1,6.309918278226516,10.203629181337648,550.0,0.9219330855018587
2026-09-19 21:12:19,Bengaluru,Hebbal,13.0358,77.597,111834,Bakingo,P&T Colony,Ganganagar,₹300 for two,Bakery|Desserts|Beverages|Snacks,4.5,11K+,30,2.0,True,False,ITEMS,AT ₹69,,3818,300.0,11000.0,item_price_point,0.0,0.0,,,69.0,1,39,1,4,Bakery,1,5.703782474656201,9.305741456739435,300.0,0.4782608695652174
2026-09-19 21:12:19,Pune,Kothrud,18.5074,73.8077,112062,Aroma's Hyderabad House,Warje,Warje,₹500 for two,Biryani|Hyderabadi|Mughlai|Chinese,4.4,33K+,32,5.0,True,False,ITEMS,AT ₹69,,71,500.0,33000.0,item_price_point,0.0,0.0,,,69.0,1,4,1,4,Biryani,1,6.214608098422191,10.404293143019792,500.0,0.9149377593360996
2026-09-19 21:12:19,Hyderabad,Dilsukhnagar,17.3687,78.5247,114253,Shah Ghouse Hotel & Restaurant,Kothapet & Dilsukhnagar,L B Nagar,₹350 for two,Biryani|Chinese|Mughlai|Tandoor,4.2,79K+,35,7.0,True,False,,,,19271,350.0,79000.0,none,0.0,0.0,,,,1,2,0,4,Biryani,0,5.857933154483459,11.277215789596893,350.0,0.6060606060606061
2026-09-19 21:12:19,Hyderabad,Miyapur,17.4968,78.3577,118675,Baskin Robbins - Ice Cream Desserts,Chandanagar,Icrisat Colony,₹300 for two,Desserts|Ice Cream,4.4,3.8K+,29,2.7,True,True,ITEMS,AT ₹15,,5588,300.0,3800.0,item_price_point,0.0,0.0,,,15.0,1,59,1,2,Desserts,1,5.703782474656201,8.24301946898925,300.0,0.48484848484848486
2026-09-19 21:12:19,Chennai,Mylapore,13.0339,80.2698,118749,Ambur Star Briyani,PONDY BAZZAR,T. Nagar,₹500 for two,Biryani|South Indian|Indian|Chinese|Tandoor|Beverages,4.4,26K+,31,5.0,True,False,ITEMS,AT ₹199,,5455,500.0,26000.0,item_price_point,0.0,0.0,,,199.0,2,7,1,6,Biryani,1,6.214608098422191,10.165890277802454,500.0,0.9070247933884298
2026-09-19 21:12:19,Pune,Koregaon Park,18.5362,73.8939,120806,Cafe Arabia,Vadgaonsheri,Kalyani Nagar ,₹400 for two,shawarma|Rolls & Wraps|Lebanese|Middle Eastern|Arabian|Salads|Fast Food|healthy|Mediterranean,4.4,5.0K+,29,4.4,True,False,₹200 OFF,ABOVE ₹699,FLAT DEAL,177,400.0,5000.0,flat,0.0,200.0,,699.0,,1,2,0,9,shawarma,1,5.991464547107982,8.517393171418904,400.0,0.7365145228215768
2026-09-19 21:12:19,Pune,Kothrud,18.5074,73.8077,120807,Cafe Arabia,Kothrud,Kothrud,₹400 for two,shawarma|Rolls & Wraps|Lebanese|Arabian|Fast Food|Middle Eastern|Salad|healthy|Mediterranean,4.3,7.0K+,19,1.0,True,False,₹200 OFF,ABOVE ₹699,FLAT DEAL,177,400.0,7000.0,flat,0.0,200.0,,699.0,,1,2,0,9,shawarma,1,5.991464547107982,8.853808274977197,400.0,0.7365145228215768
